Sacrificial Anode CP Design – Excel Calculator (from provided PDF),,,
,,,
Parameter,Value,Unit / Notes,
"Anode length, L (cm)",245,cm,
"Anode width, W (cm)",25,cm,
"Anode height, H (cm)",25,cm,
"Core diameter, Dcore (cm)",11.43,cm,
Alloy Density (kg / m3),2750,kg / m3,
"Seawater resistivity, ρ (Ω·cm)",25,Ω·cm,
"Structure protected potential, Ec° (mV)",-900,mV,
"Anode closed circuit potential, Ea° (mV)",-1050,mV,
"Driving voltage, ΔE (V) - 0.15",0.15,V,
"Driving voltage, ΔE (V) - 0.25",0.25,V,
"Electrochemical capacity, ε (A·hr/kg)",2000,A·hr/kg,
"Utilization factor, u",0.9,fraction,
"Distance from structure, d (mm)",300,mm,
Correction factor,1,dimensionless,
Design year (mm/yy),1995-01-01 00:00:00,,
2016 Inspection Report (mm/YY),2016-04-01 00:00:00,,
Anode in Service (years),21.263013698630136,,
Retrofit year (mm/yy),2017-11-01 00:00:00,,
Retrofit 2014 Inspection Report (mm/YY),2024-07-01 00:00:00,,
Retrofit Anode in Service (years) ,6.668493150684932,,
2014 Inspection Report (mm/YY) ,2014-02-01 00:00:00,,
Depleted anode Year in Service (years) ,19.0986301369863,,
2024 Inspection Report (mm/YY) ,2024-07-01 00:00:00,,
Depleted anode Year in Service (years) ,8.254794520547945,,
,,,
,,,
,,,
Key formulas used,,,
Acore,=PI()*(@Dcore^2)/4,,
Aanode,=@W*@H,,
ra,=SQRT((@Aanode +@ Acore)/PI()),,
Ra (long slender),=(@rho/(2*PI()*@La))*(LN((4*@La)/@ra)-1),,
Ra (short slender),=(@rho/(2*PI()*@La))*(LN((2*@La/@ra)*(1+SQRT(1+(@ra/(2*@La))^2))) + (@ra/(2*@La)) - SQRT(1+(@ra/(2*@La))^2)),,
Ia,=( (@Ec_mV -@ Ea_mV)/1000 ) /@ ra *@ CorrectionFactor,,
tf (years),=@ma*@u*@epsilon/(@Ia*8760),,
,,,
,,,
anode core calculation,,,
Round bar,Acore = PI * D^2 / 4,,D
Flat bar,Acore = Wcore * Tcore,,"W, T"
,,,
Anode sectional area,Aanode = W* H,,
,,,
Anode net weight,[Aanode - Acore] * L * density,,
