Anode No,Anode Category,EL. Zone (m),"Depletion 
May 2001","Depletion 
Feb 2014","Depletion 
April 2016","Depletion 
July 2024",Depletion Category,Unnamed: 8,Ia,Unnamed: 10,Unnamed: 11,Anode Stage (Ori),Anode Quantity (Ori),Ia' (A'),∑Ia' (A'),Unnamed: 16,Anode Stage (retrofit),Anode Quantity (retrofit),Ia_r(A_r),∑Ia_r(A_r)
BAN001,Original,-6.8,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,Depleted 2014,1.0,3.408004337503666,3.408004337503666,,,0.0,0.0,0.0
BAN002,Original,-6.8,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,76-100% ,71.0,3.061100146467988,217.33811039922716,,76-100% ,0.0,9.760558026597392,0.0
BAN003,Original,-6.8,0.1,,26-50%,,2.0,,1.5305469997246555,,,51-75%,224.0,2.2958371011935386,514.2675106673527,,51-75%,0.0,7.320456755284739,0.0
BAN004,Original,-6.8,0.1,,26-50%,,2.0,,1.5305469997246555,,,26-50%,201.0,1.5305469997246555,307.6399469446558,,26-50%,0.0,4.880269213172987,0.0
BAN005,Original,-10.8,0.1,,51-75%,,3.0,,2.2958371011935386,,,1-25%,4.0,0.7652696676314977,3.061078670525991,,1-25%,60.0,2.440122387217771,146.40734323306626
BAN006,Original,-11.3,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN007,Original,-6.87,0.1,,26-50%,,2.0,,1.5305469997246555,,,,501.0,,1045.7146510192654,,,60.0,,146.40734323306626
BAN008,Original,-6.87,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN009,Original,-13.9,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN010,Original,-13.6,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN011,Original,-14.3,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN012,Original,14.7,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN013,Original,-13.6,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN014,Original,-9.25,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN015,Original,-9.25,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN016,Original,-9.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN017,Original,-12.6,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN018,Original,-9.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN019,Original,-9.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN020,Original,-15.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN021,Original,-13.6,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN022,Original,13.7,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN023,Original,-13.1,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN024,Original,15.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN025,Original,-14.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN026,Original,-14.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN027,Original,-14.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN028,Original,-14.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN029,Original,-14.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN030,Original,-17.4,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN031,Original,-14.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
